code,type,description
COP,Primary,"Police forces, officers, criminal investigative units, protective agencies"
GOV,Primary,"Government: the executive, governing parties, coalitions partners, executive divisions"
INS,Primary,"Insurgents (rebels): all rebels who attempt to overthrow their national government"
JUD,Primary,"Judiciary: judges, courts"
MIL,Primary,"Military: troops, soldiers, all state-military personnel/equipment"
OPP,Primary,"Political opposition: opposition parties, individuals, anti-government activists"
REB,Primary,"Rebels: armed and violent opposition groups, individuals"
SEP,Primary,"Separatist rebels: all rebels who try to emancipate their region from its country"
SPY,Primary,"State intelligence services and members including covert operations groups as well as intelligence collection and analyses"
UAF,Primary,"Armed forces aligned neither with nor against their government"
AGR,Secondary,"Agriculture: individuals and groups involved in the practices of crop cultivation"
BUS,Secondary,"Business: businessmen, companies, and enterprises, not including MNCS"
CRM,Secondary,"Criminal: corresponding to individuals involved in or allegedly involved in the deliberate breaking of state or international laws primarily for profit"
CVL,Secondary,"Civilian individuals or groups"
DEV,Secondary,"Development: individuals and groups concerned primarily with development issues"
EDU,Secondary,"Education: educators, schools, students, or organizations dealing with education"
ELI,Secondary,"Elites: former government officials, celebrities, spokespersons for organizations"
ENV,Secondary,"Environmental: entities for whom environmental and ecological issues are their primary focus"
HLH,Secondary,"Health: individuals, groups and organizations dealing with health and social welfare practices"
HRI,Secondary,"Human Rights: actors for whom their primary area of operation or expertise is with documenting and/or correcting human rights concerns"
LAB,Secondary,"Labor: specifically individuals in or elements of organized labor, organizations concerned with labor issues"
LEG,Secondary,"Legislature: parliaments, assemblies, lawmakers"
MED,Secondary,"Media: journalists, newspapers, television stations"
REF,Secondary,"Refugees: also refers to agencies or MNCs dealing with population migration and relocation issues"
MOD,Tertiary,"Moderate: ""moderate,"" ""mainstream,"" etc."
RAD,Tertiary,"Radical: ""radical,"" ""extremist,"" ""fundamentalist,"" etc."
