code,description
AF,"아프가니스탄"
AX,"아크로티리 주권 기지 지역"
AL,"알바니아"
AG,"알제리"
AQ,"아메리칸사모아"
AN,"안도라"
AO,"앙골라"
AV,"앵귈라"
AY,"남극"
AC,"앤티가 바부다"
AR,"아르헨티나"
AM,"아르메니아"
AA,"아루바"
AT,"애시모어 카르티에 제도"
AS,"호주"
AU,"오스트리아"
AJ,"아제르바이잔"
BF,"바하마"
BA,"바레인"
FQ,"베이커섬"
BG,"방글라데시"
BB,"바베이도스"
BS,"바사스다앵디아"
BO,"벨라루스"
BE,"벨기에"
BH,"벨리즈"
BN,"베냉"
BD,"버뮤다"
BT,"부탄"
BL,"볼리비아"
BK,"보스니아 헤르체고비나"
BC,"보츠와나"
BV,"부베섬"
BR,"브라질"
IO,"영국령 인도양 지역"
VI,"영국령 버진아일랜드"
BX,"브루나이"
BU,"불가리아"
UV,"부르키나파소"
BY,"부룬디"
CB,"캄보디아"
CM,"카메룬"
CA,"캐나다"
CV,"카보베르데"
CJ,"케이맨 제도"
CT,"중앙아프리카 공화국"
CD,"차드"
CI,"칠레"
CH,"중국"
KT,"크리스마스섬"
IP,"클리퍼턴섬"
CK,"코코스 제도"
CO,"콜롬비아"
CN,"코모로"
CF,"콩고 공화국"
CW,"쿡 제도"
CR,"산호해 제도"
CS,"코스타리카"
IV,"코트디부아르"
HR,"크로아티아"
CU,"쿠바"
CY,"키프로스"
EZ,"체코"
LO,"체코슬로바키아"
CG,"콩고 민주 공화국"
DA,"덴마크"
DX,"데켈리아 주권 기지 지역"
DJ,"지부티"
DO,"도미니카 연방"
DR,"도미니카 공화국"
TT,"동티모르"
EC,"에콰도르"
EG,"이집트"
ES,"엘살바도르"
GV,"적도 기니"
EK,"적도 기니"
ER,"에리트레아"
EN,"에스토니아"
ET,"에티오피아"
PJ,"에토로푸, 하보마이, 쿠나시리, 시코탄 제도"
EU,"유로파섬"
FK,"포클랜드 제도"
FO,"페로 제도"
FJ,"피지"
FI,"핀란드"
FR,"프랑스"
FG,"프랑스령 기아나"
FP,"프랑스령 폴리네시아"
FS,"프랑스령 남방 및 남극 지역"
GB,"가봉"
GA,"감비아"
GZ,"가자 지구"
GG,"조지아"
GM,"독일"
GH,"가나"
GI,"지브롤터"
GO,"글로리오소 제도"
GR,"그리스"
GL,"그린란드"
GJ,"그레나다"
GP,"과들루프"
GQ,"괌"
GT,"과테말라"
GK,"건지섬"
PU,"기니비사우"
GY,"가이아나"
HA,"아이티"
HM,"허드 맥도널드 제도"
HO,"온두라스"
HK,"홍콩"
HQ,"하울랜드섬"
HU,"헝가리"
IC,"아이슬란드"
IN,"인도"
ID,"인도네시아"
IR,"이란"
IZ,"이라크"
EI,"아일랜드"
IM,"맨섬"
IS,"이스라엘"
IT,"이탈리아"
JM,"자메이카"
JN,"얀마옌섬"
JA,"일본"
DQ,"자르비스섬"
JE,"저지섬"
JQ,"존스턴 환초"
JO,"요르단"
JU,"쥐앙드노바섬"
KZ,"카자흐스탄"
KE,"케냐"
KQ,"킹먼 환초"
KR,"키리바시"
KV,"코소보"
KU,"쿠웨이트"
KG,"키르기스스탄"
LA,"라오스"
LG,"라트비아"
LE,"레바논"
LT,"레소토"
LI,"라이베리아"
LY,"리비아"
LS,"리히텐슈타인"
